web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771529350-32","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chaton persan blanc","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-blanc-2052355"
"1771529350-33","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chaton persan chinchilla","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-chinchilla-2025374"
"1771529350-34","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","475CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1998573"
"1771529350-35","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chaton","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chaton-1962491"
"1771529350-36","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","Prix sur demande","Diourbel, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1954085"
"1771529350-37","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vaches","Prix sur demande","Diourbel, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/vaches-1935629"
"1771529350-38","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chaton Persan","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-1935403"
"1771529350-39","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1934309"
"1771529350-40","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chat Siamois","Prix sur demande","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1899735"
"1771529350-41","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Dindon rouge","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/dindon-rouge-1890125"
"1771529350-42","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chat siamois","350 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1825906"
