image_lien,nom,adresse,prix
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1428044,Mouton ladoum,"Fass, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1428032,Mouton ladoum,"Fass, Dakar, Sénégal",450000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1428014,Mouton ladoum,"Fass, Dakar, Sénégal",400000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1427992,Mouton Ladoum,"Fass, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1365032,Mouton,"Mermoz-Sacré Coeur, Dakar, Sénégal",45000.0
https://sn.coinafrique.com/annonce/moutons/mouton-pur-ladoum-1344753,Mouton Pur Ladoum,"Mermoz-Sacré-Cœur, Dakar, Sénégal",450000.0
https://sn.coinafrique.com/annonce/moutons/ladoums-femelles-1325277,Ladoums femelles,"Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1318185,Mouton,Sénégal,230000.0
https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-1311660,Moutons ladoum,"HLM, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-1277749,Moutons Ladoum,"Dakar, Sénégal",450000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1257886,Mouton Ladoum,"Ouakam, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/mouton-femelle-1250492,Mouton Femelle,"Ouakam, Dakar, Sénégal",200000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1244039,Mouton Ladoum,"Fass, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1232770,Ladoum pur-sang,"Guédiawaye, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-femelle-1232751,Mouton Ladoum femelle,"Guédiawaye, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/geniteur-ladoum-1232723,Géniteur ladoum,"Guediawaye, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/mouton-azawat-femelle-1184273,Mouton Azawat femelle,"Rufisque, Sénégal",250000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1161905,Mouton,"Guédiawaye, Dakar, Sénégal",605000.0
https://sn.coinafrique.com/annonce/moutons/mouton-1149005,Mouton,"Dakar, Sénégal",250000.0
