image_lien,nom,adresse,prix
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1441558,Perruches,"Mermoz-Sacré-Cœur, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-1428089,Oies toulouse,"Fass, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421206,Cheval,"Fatick, Sénégal",400000.0
https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421196,Cheval,"Fatick, Sénégal",400000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-de-guinee-1417652,Oies de guinée,"Thies, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395711,Perruches,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395598,Perruches,"Mermoz-Sacré-Cœur, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-1393968,Oiseaux exotiques,"Dakar, Sénégal",20000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-1389654,Perruches,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/cailles-1376905,Cailles,"Mermoz-Sacré-Cœur, Dakar, Sénégal",12000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739,Oies,"Fass, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792,Oies,"Fass, Dakar, Sénégal",60000.0
https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387,Paon bleu,"Parcelle Assainies, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114,Bœufs,Sénégal,350000.0
https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419,Boeuf,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139,Mouton ladoum pure sang,Sénégal,100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474,Oies  bourbonaises,"Thies, Sénégal",50000.0
https://sn.coinafrique.com/annonce/autres-animaux/caille-931708,Caille,"Grand Yoff, Dakar, Sénégal",1000.0
https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881,Verrat de race Large white,Sénégal,200000.0
https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895,Chèvre Balami,"Saint Louis, Sénégal",200000.0
https://sn.coinafrique.com/annonce/autres-animaux/buf-885779,Bœuf,"Guediawaye, Dakar, Sénégal",400000.0
https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425,Poisson d'aquarium,Sénégal,35000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280,Perruches,Sénégal,100000.0
https://sn.coinafrique.com/annonce/autres-animaux/carpe-koi-japonaise-aquarium-827220,Carpe Koï Japonaise ( Aquarium),"Dakar-Plateau, Dakar, Sénégal",50000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123,Perruches,"Point E, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/cailles-3405018,Cailles,"Mermoz-Sacré Coeur, Dakar, Sénégal",2000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-3395087,Perruches,"Guediawaye, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/trio-de-paon-bleu-3389732,Trio de paon bleu,"Mbao, Dakar, Sénégal",450000.0
https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-adulte-3372722,Paon bleu adulte,"Keur Massar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/autres-animaux/cailles-3371486,Cailles,"Mermoz-Sacré Coeur, Dakar, Sénégal",1500.0
https://sn.coinafrique.com/annonce/autres-animaux/buf-3369906,Bœuf,"Dakar, Sénégal",500000.0
https://sn.coinafrique.com/annonce/autres-animaux/couple-hermine-3369362,Couple hermine,"Dakar, Sénégal",20000.0
https://sn.coinafrique.com/annonce/autres-animaux/caille-3360468,Caille,"Mermoz-Sacré Coeur, Dakar, Sénégal",2000.0
https://sn.coinafrique.com/annonce/autres-animaux/autruchon-3357168,Autruchon,"Guediawaye, Dakar, Sénégal",300000.0
https://sn.coinafrique.com/annonce/autres-animaux/veaux-3350491,Veaux,"Dieuppeul-Derklé, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/autres-animaux/taureaux-holstein-3348822,Taureaux Holstein,"Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/geniteur-holstein-3348819,Géniteur Holstein,"Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/carpe-koi-3345713,Carpe Koï,"Dakar Plateau, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-3341213,Chaton,"Almadies, Dakar, Sénégal",40000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-3336754,Perruches,"Guediawaye, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/veaux-3335012,Veaux,"Dieuppeul-Derklé, Dakar, Sénégal",250000.0
https://sn.coinafrique.com/annonce/autres-animaux/buf-3330908,Bœuf,"Guediawaye, Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruche-3321530,Perruche,"Hann Bel-Air, Dakar, Sénégal",24000.0
https://sn.coinafrique.com/annonce/autres-animaux/cailleteaux-3319946,Cailleteaux,"Parcelle Assainies, Dakar, Sénégal",400.0
https://sn.coinafrique.com/annonce/autres-animaux/caille-3319937,Caille,"Parcelle Assainies, Dakar, Sénégal",2500.0
https://sn.coinafrique.com/annonce/autres-animaux/veaux-3318063,Veaux,"Dieuppeul-Derklé, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oie-guineen-3316816,Oie guinéen,"Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/oie-gardien-3316810,Oie gardien,"Dakar, Sénégal",90000.0
https://sn.coinafrique.com/annonce/autres-animaux/chevre-male-3315646,Chèvre mâle,"Mermoz-Sacré Coeur, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/vache-3287171,Vache,"Niaga, Sénégal",600000.0
https://sn.coinafrique.com/annonce/autres-animaux/vache-3287170,Vache,"Niaga, Sénégal",600000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-adultes-3273490,Oies adultes,"Guediawaye, Dakar, Sénégal",130000.0
https://sn.coinafrique.com/annonce/autres-animaux/taureau-3271377,Taureau,"Parcelle Assainies, Dakar, Sénégal",450000.0
https://sn.coinafrique.com/annonce/autres-animaux/taureau-3269989,Taureau,"Dieuppeul-Derklé, Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/taureau-3263210,Taureau,"Dieuppeul-Derklé, Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/poisson-aquarium-3256827,Poisson aquarium,"Dakar Plateau, Dakar, Sénégal",12000.0
https://sn.coinafrique.com/annonce/autres-animaux/chaton-3254310,Chaton,"Mermoz-Sacré Coeur, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/bufs-3253864,Bœufs,"Dieuppeul-Derklé, Dakar, Sénégal",645000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-3243586,Perruche ondulée,"Point E, Dakar, Sénégal",15000.0
https://sn.coinafrique.com/annonce/autres-animaux/bufs-3240329,Bœufs,"Dieuppeul-Derklé, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/chatons-2-et-3-mois-3222114,Chatons 2 et 3 mois,"Grand Dakar, Dakar, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-3215371,Perruches ondulées,"Point E, Dakar, Sénégal",20000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-3172011,Oies,"Dakar, Sénégal",60000.0
https://sn.coinafrique.com/annonce/autres-animaux/oies-3172006,Oies,"Dakar, Sénégal",60000.0
https://sn.coinafrique.com/annonce/autres-animaux/cheval-3169679,Cheval,"Pikine, Sénégal",450000.0
https://sn.coinafrique.com/annonce/autres-animaux/cailles-3169648,Cailles,"Touba, Sénégal",100000.0
https://sn.coinafrique.com/annonce/autres-animaux/couple-dinde-3169645,Couple dinde,"Touba, Sénégal",100000.0
